VAR2 SMU1 Vg (V),SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
9.5,9.1927e-06,-2.84e-13,-9.1965e-06,4.5
9.5,9.2381e-06,4.6e-14,-9.2381e-06,4.625
9.5,9.2588e-06,-2.2e-13,-9.2634e-06,4.75
9.5,9.2891e-06,-2e-13,-9.2984e-06,4.875
9.5,9.315e-06,-3.36e-13,-9.3261e-06,5.0
9.5,9.352e-06,-4.08e-13,-9.3477e-06,5.125
9.5,9.3659e-06,-4.02e-13,-9.3775e-06,5.25
9.5,9.3942e-06,-5.6e-14,-9.3884e-06,5.375
9.5,9.4139e-06,-1.4e-14,-9.427e-06,5.5
9.5,9.4346e-06,-8.8e-14,-9.4348e-06,5.625
9.5,9.4469e-06,-5.14e-13,-9.4518e-06,5.75
9.5,9.4529e-06,-2.22e-13,-9.4627e-06,5.875
9.5,9.477e-06,-2.4e-13,-9.4708e-06,6.0
9.5,9.4814e-06,-4.28e-13,-9.4935e-06,6.125
9.5,9.503e-06,-6e-15,-9.5108e-06,6.25
9.5,9.5166e-06,-2.74e-13,-9.5187e-06,6.375
9.5,9.5232e-06,-5.6e-13,-9.5301e-06,6.5
9.5,9.5407e-06,-2.04e-13,-9.5478e-06,6.625
9.5,9.5469e-06,-9e-14,-9.5529e-06,6.75
9.5,9.5555e-06,1.4e-14,-9.5592e-06,6.875
9.5,9.5725e-06,-1.2e-13,-9.5741e-06,7.0
9.5,9.582e-06,-1.7e-13,-9.5765e-06,7.125
9.5,9.5903e-06,-2.26e-13,-9.5841e-06,7.25
9.5,9.5959e-06,-7.5e-13,-9.5944e-06,7.375
9.5,9.599e-06,-6.2e-13,-9.6064e-06,7.5
9.5,9.6166e-06,-3.44e-13,-9.6203e-06,7.625
9.5,9.6307e-06,-3.68e-13,-9.6305e-06,7.75
9.5,9.6421e-06,8.2e-14,-9.643e-06,7.875
9.5,9.6445e-06,-9.6e-14,-9.6471e-06,8.0
9.5,9.655e-06,-5.64e-13,-9.6607e-06,8.125
9.5,9.6672e-06,-5.78e-13,-9.6606e-06,8.25
9.5,9.6701e-06,-1.76e-13,-9.6616e-06,8.375
9.5,9.6749e-06,1.6e-14,-9.6855e-06,8.5
9.5,9.687e-06,-2.38e-13,-9.6883e-06,8.625
9.5,9.6866e-06,-5.3e-13,-9.7042e-06,8.75
9.5,9.6953e-06,-3.64e-13,-9.7039e-06,8.875
9.5,9.7022e-06,-5e-14,-9.7083e-06,9.0
9.5,9.7042e-06,-2.82e-13,-9.7209e-06,9.125
9.5,9.7162e-06,1.28e-13,-9.7337e-06,9.25
9.5,9.7267e-06,-3.24e-13,-9.7382e-06,9.375
9.5,9.7344e-06,-2.72e-13,-9.7306e-06,9.5
9.5,9.7415e-06,-7.94e-13,-9.7432e-06,9.625
9.5,9.7497e-06,-2.58e-13,-9.7547e-06,9.75
9.5,9.7664e-06,-2.84e-13,-9.7587e-06,9.875
9.5,9.7731e-06,-2.7e-13,-9.7731e-06,10.0
9.5,9.7897e-06,-9.8e-14,-9.7812e-06,10.0
9.5,9.7834e-06,2.8e-14,-9.784e-06,9.875
9.5,9.7966e-06,-5e-14,-9.7928e-06,9.75
9.5,9.7879e-06,-2.16e-13,-9.791e-06,9.625
9.5,9.7872e-06,2.24e-13,-9.7991e-06,9.5
9.5,9.7848e-06,4.96e-13,-9.8028e-06,9.375
9.5,9.8047e-06,3.24e-13,-9.8057e-06,9.25
9.5,9.8047e-06,1.52e-13,-9.8055e-06,9.125
9.5,9.8049e-06,1.02e-13,-9.7978e-06,9.0
9.5,9.807e-06,-6e-14,-9.8085e-06,8.875
9.5,9.812e-06,2.64e-13,-9.8207e-06,8.75
9.5,9.8127e-06,4.62e-13,-9.8079e-06,8.625
9.5,9.8077e-06,4.38e-13,-9.8147e-06,8.5
9.5,9.8134e-06,3e-14,-9.8062e-06,8.375
9.5,9.8237e-06,1.14e-13,-9.8189e-06,8.25
9.5,9.8241e-06,3.8e-14,-9.8225e-06,8.125
9.5,9.809e-06,1.6e-13,-9.8135e-06,8.0
9.5,9.8052e-06,3.9e-13,-9.8228e-06,7.875
9.5,9.8085e-06,6.52e-13,-9.8233e-06,7.75
9.5,9.8107e-06,2.96e-13,-9.811e-06,7.625
9.5,9.8215e-06,8.4e-14,-9.8187e-06,7.5
9.5,9.8048e-06,2.08e-13,-9.8119e-06,7.375
9.5,9.803e-06,-1.4e-13,-9.8079e-06,7.25
9.5,9.8071e-06,3.68e-13,-9.8149e-06,7.125
9.5,9.8026e-06,5.68e-13,-9.8079e-06,7.0
9.5,9.8098e-06,2.44e-13,-9.8089e-06,6.875
9.5,9.8015e-06,1.6e-14,-9.803e-06,6.75
9.5,9.7889e-06,-1.42e-13,-9.7974e-06,6.625
9.5,9.7788e-06,2.24e-13,-9.7857e-06,6.5
9.5,9.7776e-06,3.9e-13,-9.7751e-06,6.375
9.5,9.7614e-06,5.02e-13,-9.7635e-06,6.25
9.5,9.7496e-06,3.62e-13,-9.7569e-06,6.125
9.5,9.7446e-06,5.6e-14,-9.7512e-06,6.0
9.5,9.7368e-06,2.94e-13,-9.732e-06,5.875
9.5,9.7237e-06,1.28e-13,-9.7266e-06,5.75
9.5,9.7053e-06,5.06e-13,-9.7148e-06,5.625
9.5,9.6971e-06,5.5e-13,-9.7084e-06,5.5
9.5,9.6851e-06,1.84e-13,-9.6977e-06,5.375
9.5,9.6659e-06,2.7e-13,-9.664e-06,5.25
9.5,9.6459e-06,3.8e-13,-9.6421e-06,5.125
9.5,9.6208e-06,3.16e-13,-9.6183e-06,5.0
9.5,9.582e-06,5.64e-13,-9.6015e-06,4.875
9.5,9.5748e-06,6.12e-13,-9.5691e-06,4.75
9.5,9.5299e-06,3.88e-13,-9.5359e-06,4.625
9.5,9.4901e-06,-2.02e-13,-9.5014e-06,4.5
9.5,9.4616e-06,1.42e-13,-9.4522e-06,4.375
9.5,9.4151e-06,4.48e-13,-9.4126e-06,4.25
9.5,9.3715e-06,5.84e-13,-9.3692e-06,4.125
9.5,9.3116e-06,5.66e-13,-9.3135e-06,4.0
9.5,9.2569e-06,2.92e-13,-9.2671e-06,3.875
9.5,9.2057e-06,3.6e-14,-9.2013e-06,3.75
9.5,9.1225e-06,2.8e-13,-9.1317e-06,3.625
9.5,9.0508e-06,4.9e-13,-9.0497e-06,3.5
9.5,8.9673e-06,6.08e-13,-8.9646e-06,3.375
9.5,8.8744e-06,3.52e-13,-8.8706e-06,3.25
9.5,8.7607e-06,5.24e-13,-8.7744e-06,3.125
9.5,8.654e-06,-2.2e-13,-8.6484e-06,3.0
9.5,8.5227e-06,-1e-14,-8.5217e-06,2.875
9.5,8.3838e-06,6.16e-13,-8.383e-06,2.75
9.5,8.2263e-06,9.72e-13,-8.2267e-06,2.625
9.5,8.0666e-06,5.78e-13,-8.066e-06,2.5
9.5,7.8838e-06,7.22e-13,-7.8841e-06,2.375
9.5,7.6788e-06,3.56e-13,-7.6758e-06,2.25
9.5,7.4613e-06,2.5e-13,-7.4509e-06,2.125
9.5,7.2227e-06,4.04e-13,-7.2185e-06,2.0
9.5,6.9709e-06,4.78e-13,-6.9588e-06,1.875
9.5,6.6849e-06,9.04e-13,-6.6858e-06,1.75
9.5,6.3869e-06,7.22e-13,-6.3768e-06,1.625
9.5,6.056e-06,3.22e-13,-6.053e-06,1.5
9.5,5.7048e-06,2.06e-13,-5.7018e-06,1.375
9.5,5.3278e-06,1.22e-13,-5.3296e-06,1.25
9.5,4.9279e-06,3.18e-13,-4.9194e-06,1.125
9.5,4.4964e-06,7.56e-13,-4.4929e-06,1.0
9.5,4.0365e-06,7.5e-13,-4.0362e-06,0.875
9.5,3.5534e-06,4.4e-13,-3.5498e-06,0.75
9.5,3.0374e-06,-7.4e-14,-3.0338e-06,0.625
9.5,2.4915e-06,-6.4e-14,-2.4894e-06,0.5
9.5,1.9174e-06,7.6e-13,-1.9156e-06,0.375
9.5,1.31e-06,4.74e-13,-1.3084e-06,0.25
9.5,6.7034e-07,2.42e-13,-6.6947e-07,0.125
9.5,2.4299e-10,-1.4e-13,-1.80324e-10,0.0
9.0,3.15104e-10,-1.46e-13,-1.52494e-10,0.0
9.0,5.2917e-07,6.26e-13,-5.2894e-07,0.125
9.0,1.02299e-06,5.2e-14,-1.0247e-06,0.25
9.0,1.4888e-06,-1.28e-13,-1.4881e-06,0.375
9.0,1.9163e-06,7.2e-14,-1.9173e-06,0.5
9.0,2.318e-06,1.02e-13,-2.3183e-06,0.625
9.0,2.6878e-06,-2.54e-13,-2.6896e-06,0.75
9.0,3.0318e-06,-3.7e-13,-3.0358e-06,0.875
9.0,3.3475e-06,-2.3e-13,-3.3508e-06,1.0
9.0,3.636e-06,-1.38e-13,-3.6399e-06,1.125
9.0,3.903e-06,-8.8e-14,-3.9014e-06,1.25
9.0,4.1438e-06,-3.1e-13,-4.1438e-06,1.375
9.0,4.3501e-06,-3.76e-13,-4.3626e-06,1.5
9.0,4.5522e-06,-4.48e-13,-4.5548e-06,1.625
9.0,4.7283e-06,-4.18e-13,-4.7363e-06,1.75
9.0,4.8964e-06,-2.32e-13,-4.9067e-06,1.875
9.0,5.0437e-06,7.6e-14,-5.0476e-06,2.0
9.0,5.168e-06,-2.2e-14,-5.1686e-06,2.125
9.0,5.2824e-06,-4.84e-13,-5.2915e-06,2.25
9.0,5.3957e-06,-6.68e-13,-5.3992e-06,2.375
9.0,5.4826e-06,-3.7e-13,-5.4898e-06,2.5
9.0,5.5684e-06,5.8e-14,-5.5723e-06,2.625
9.0,5.6351e-06,5.4e-14,-5.6499e-06,2.75
9.0,5.7119e-06,-4.22e-13,-5.7105e-06,2.875
9.0,5.7606e-06,-6.38e-13,-5.7632e-06,3.0
9.0,5.821e-06,-3.68e-13,-5.8202e-06,3.125
9.0,5.862e-06,-4.4e-13,-5.8618e-06,3.25
9.0,5.8964e-06,-3.92e-13,-5.902e-06,3.375
9.0,5.9348e-06,-5.8e-13,-5.938e-06,3.5
9.0,5.967e-06,-2.86e-13,-5.9727e-06,3.625
9.0,5.9922e-06,-2.76e-13,-6.0033e-06,3.75
9.0,6.0147e-06,-6.3e-13,-6.0205e-06,3.875
9.0,6.0562e-06,-4.5e-13,-6.0454e-06,4.0
9.0,6.0641e-06,-4e-14,-6.0667e-06,4.125
9.0,6.0891e-06,-2.58e-13,-6.1054e-06,4.25
9.0,6.1147e-06,-1.56e-13,-6.1136e-06,4.375
9.0,6.1213e-06,-3.12e-13,-6.1327e-06,4.5
9.0,6.1432e-06,-4.94e-13,-6.1473e-06,4.625
9.0,6.1495e-06,-3.1e-13,-6.1588e-06,4.75
9.0,6.1713e-06,-6.8e-14,-6.1775e-06,4.875
9.0,6.1793e-06,2e-15,-6.1933e-06,5.0
9.0,6.1981e-06,2.04e-13,-6.195e-06,5.125
9.0,6.2122e-06,-8.8e-14,-6.2091e-06,5.25
9.0,6.2082e-06,-6.46e-13,-6.2042e-06,5.375
9.0,6.2184e-06,-7.5e-13,-6.2215e-06,5.5
9.0,6.2362e-06,2.64e-13,-6.2297e-06,5.625
9.0,6.2348e-06,-5.48e-13,-6.2284e-06,5.75
9.0,6.2464e-06,2.1e-13,-6.2404e-06,5.875
9.0,6.2541e-06,-2.04e-13,-6.2524e-06,6.0
9.0,6.2544e-06,-4.3e-13,-6.2627e-06,6.125
9.0,6.2585e-06,-5.7e-13,-6.2628e-06,6.25
9.0,6.2655e-06,-3.78e-13,-6.2631e-06,6.375
9.0,6.269e-06,2.34e-13,-6.2656e-06,6.5
9.0,6.2692e-06,-5.6e-14,-6.2785e-06,6.625
9.0,6.2822e-06,-1.3e-13,-6.285e-06,6.75
9.0,6.2924e-06,-6.64e-13,-6.2895e-06,6.875
9.0,6.2905e-06,-6.18e-13,-6.293e-06,7.0
9.0,6.3023e-06,-2.48e-13,-6.3049e-06,7.125
9.0,6.31e-06,1.34e-13,-6.2946e-06,7.25
9.0,6.3089e-06,-3e-13,-6.3144e-06,7.375
9.0,6.3197e-06,-1.04e-13,-6.3181e-06,7.5
9.0,6.311e-06,-4.98e-13,-6.3135e-06,7.625
9.0,6.3211e-06,-3.82e-13,-6.3324e-06,7.75
9.0,6.3341e-06,-2.64e-13,-6.3307e-06,7.875
9.0,6.338e-06,1.56e-13,-6.3351e-06,8.0
9.0,6.3412e-06,2.8e-14,-6.3413e-06,8.125
9.0,6.3411e-06,-1.26e-13,-6.3514e-06,8.25
9.0,6.3542e-06,-3.9e-13,-6.3591e-06,8.375
9.0,6.3682e-06,-5.32e-13,-6.3491e-06,8.5
9.0,6.3617e-06,-7.8e-14,-6.3647e-06,8.625
9.0,6.3683e-06,-1.02e-13,-6.3632e-06,8.75
9.0,6.368e-06,-1.96e-13,-6.3733e-06,8.875
9.0,6.3718e-06,-1.24e-13,-6.3817e-06,9.0
9.0,6.3808e-06,-5.72e-13,-6.3787e-06,9.125
9.0,6.3716e-06,-4.04e-13,-6.3859e-06,9.25
9.0,6.3877e-06,-2.94e-13,-6.3972e-06,9.375
9.0,6.4031e-06,-1.08e-13,-6.4039e-06,9.5
9.0,6.4128e-06,-3.06e-13,-6.4178e-06,9.625
9.0,6.4175e-06,1.2e-14,-6.4273e-06,9.75
9.0,6.4337e-06,-7.58e-13,-6.4298e-06,9.875
9.0,6.4312e-06,-7.96e-13,-6.4242e-06,10.0
9.0,6.4331e-06,-1.16e-13,-6.4403e-06,10.0
9.0,6.4404e-06,4e-15,-6.445e-06,9.875
9.0,6.4405e-06,3.02e-13,-6.4563e-06,9.75
9.0,6.4517e-06,4.48e-13,-6.466e-06,9.625
9.0,6.4632e-06,4e-15,-6.4584e-06,9.5
9.0,6.4591e-06,-1.36e-13,-6.4658e-06,9.375
9.0,6.4677e-06,8e-14,-6.4745e-06,9.25
9.0,6.478e-06,5.06e-13,-6.4839e-06,9.125
9.0,6.4788e-06,4.12e-13,-6.4855e-06,9.0
9.0,6.485e-06,2.38e-13,-6.4931e-06,8.875
9.0,6.4937e-06,7.4e-14,-6.4681e-06,8.75
9.0,6.4684e-06,-8e-14,-6.4691e-06,8.625
9.0,6.4776e-06,-9.2e-14,-6.4761e-06,8.5
9.0,6.4863e-06,7.2e-14,-6.4723e-06,8.375
9.0,6.4748e-06,2.3e-13,-6.481e-06,8.25
9.0,6.4799e-06,-1.14e-13,-6.4801e-06,8.125
9.0,6.482e-06,-7.4e-14,-6.4859e-06,8.0
9.0,6.4813e-06,1.62e-13,-6.4906e-06,7.875
9.0,6.4858e-06,8e-14,-6.4929e-06,7.75
9.0,6.4842e-06,4.7e-13,-6.4901e-06,7.625
9.0,6.4826e-06,3.92e-13,-6.4922e-06,7.5
9.0,6.493e-06,5.18e-13,-6.4959e-06,7.375
9.0,6.4844e-06,2.76e-13,-6.4865e-06,7.25
