VAR2 SMU1 Vg (V),SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
10.0,9.4909e-06,1.84e-13,-9.4925e-06,1.5
10.0,8.8009e-06,5.68e-13,-8.8e-06,1.375
10.0,8.0909e-06,3.04e-13,-8.09e-06,1.25
10.0,7.3616e-06,7.98e-13,-7.3605e-06,1.125
10.0,6.6139e-06,-2.04e-13,-6.6123e-06,1.0
10.0,5.8508e-06,6.88e-13,-5.8494e-06,0.875
10.0,5.0722e-06,1.7e-13,-5.0719e-06,0.75
10.0,4.2707e-06,6.08e-13,-4.2699e-06,0.625
10.0,3.4522e-06,6.54e-13,-3.452e-06,0.5
10.0,2.6168e-06,2.78e-13,-2.6154e-06,0.375
10.0,1.7617e-06,-3.4e-14,-1.7609e-06,0.25
10.0,8.8894e-07,4.92e-13,-8.8858e-07,0.125
10.0,2.72782e-09,-8.98e-13,-2.24568e-09,0.0
9.5,2.26076e-09,5.38e-13,-2.32954e-09,0.0
9.5,7.9952e-07,4.2e-13,-8.0046e-07,0.125
9.5,1.5829e-06,-1.146e-12,-1.5832e-06,0.25
9.5,2.3463e-06,-3.28e-13,-2.3483e-06,0.375
9.5,3.0929e-06,-1.402e-12,-3.094e-06,0.5
9.5,3.8217e-06,6.76e-13,-3.8214e-06,0.625
9.5,4.5309e-06,2.526e-12,-4.5304e-06,0.75
9.5,5.2169e-06,1.102e-12,-5.2176e-06,0.875
9.5,5.8893e-06,-6.2e-13,-5.8911e-06,1.0
9.5,6.5468e-06,-8.84e-13,-6.5478e-06,1.125
9.5,7.1856e-06,-7.72e-13,-7.1905e-06,1.25
9.5,7.8094e-06,2.4e-13,-7.8097e-06,1.375
9.5,8.4114e-06,3.3e-13,-8.4092e-06,1.5
9.5,8.9981e-06,2.4e-13,-8.9968e-06,1.625
9.5,9.5665e-06,-1.76e-13,-9.5684e-06,1.75
9.5,1.01189e-05,-1.856e-12,-1.01222e-05,1.875
9.5,1.06596e-05,-6.96e-13,-1.06611e-05,2.0
9.5,1.11824e-05,-2.266e-12,-1.11822e-05,2.125
9.5,1.1685e-05,4.5e-13,-1.1683e-05,2.25
9.5,1.2172e-05,-2.92e-13,-1.2179e-05,2.375
9.5,1.2646e-05,-2.4e-13,-1.2652e-05,2.5
9.5,1.3107e-05,-1.006e-12,-1.3115e-05,2.625
9.5,1.3555e-05,-1.46e-12,-1.3557e-05,2.75
9.5,1.398e-05,1.302e-12,-1.3979e-05,2.875
9.5,1.4393e-05,-1.8e-14,-1.4397e-05,3.0
9.5,1.479e-05,-4.62e-13,-1.4793e-05,3.125
9.5,1.5179e-05,9.54e-13,-1.5181e-05,3.25
9.5,1.555e-05,-1.818e-12,-1.5556e-05,3.375
9.5,1.5912e-05,-1.75e-12,-1.5911e-05,3.5
9.5,1.6253e-05,1.66e-13,-1.6256e-05,3.625
9.5,1.6586e-05,2.032e-12,-1.6587e-05,3.75
9.5,1.6903e-05,-8.26e-13,-1.6905e-05,3.875
9.5,1.7205e-05,-9.34e-13,-1.721e-05,4.0
9.5,1.7495e-05,-8.74e-13,-1.7503e-05,4.125
9.5,1.7784e-05,1.118e-12,-1.7787e-05,4.25
9.5,1.8047e-05,-8.98e-13,-1.8058e-05,4.375
9.5,1.8308e-05,2.78e-13,-1.8307e-05,4.5
9.5,1.8552e-05,1.992e-12,-1.8551e-05,4.625
9.5,1.879e-05,2.4e-13,-1.8789e-05,4.75
9.5,1.9012e-05,4.54e-13,-1.9017e-05,4.875
9.5,1.9225e-05,1.64e-13,-1.9225e-05,5.0
9.5,1.9425e-05,8.76e-13,-1.9426e-05,5.125
9.5,1.9622e-05,-1.128e-12,-1.9635e-05,5.25
9.5,1.9815e-05,-1.598e-12,-1.9812e-05,5.375
9.5,1.9989e-05,1.02e-12,-1.9997e-05,5.5
9.5,2.0163e-05,-1.642e-12,-2.0158e-05,5.625
9.5,2.0317e-05,2.3e-13,-2.0319e-05,5.75
9.5,2.0465e-05,8.14e-13,-2.0465e-05,5.875
9.5,2.061e-05,-8.16e-13,-2.0617e-05,6.0
9.5,2.0745e-05,1.22e-12,-2.0742e-05,6.125
9.5,2.0874e-05,-2.356e-12,-2.0879e-05,6.25
9.5,2.1e-05,-2.094e-12,-2.1009e-05,6.375
