I_BG,I_S,I_D,V_BG,V_S,V_D
8.44e-13,-9.07662e-10,8.84362e-10,10.896,0.0,0.1
6.18e-13,-5.09586e-10,5.61408e-10,10.716,0.0,0.1
1.122e-12,-4.55634e-10,4.4938e-10,10.536,0.0,0.1
7.2e-13,-2.91512e-10,2.81278e-10,10.356,0.0,0.1
7.38e-13,-1.84366e-10,1.54094e-10,10.176,0.0,0.1
6.78e-13,-1.3022e-10,1.26026e-10,9.996,0.0,0.1
6.94e-13,-5.8532e-11,6.9184e-11,9.816,0.0,0.1
4.96e-13,-3.7842e-11,3.7364e-11,9.636,0.0,0.1
6.18e-13,-1.6944e-11,1.7314e-11,9.455,0.0,0.1
6.22e-13,-5.174e-12,7.284e-12,9.275,0.0,0.1
6.78e-13,-5.326e-12,5.064e-12,9.095,0.0,0.1
2.06e-13,-2.286e-12,2.976e-12,8.915,0.0,0.1
6.98e-13,-1.98e-13,1.496e-12,8.735,0.0,0.1
3.16e-13,5.72e-13,4.32e-13,8.555,0.0,0.1
3.24e-13,-4.4e-13,5.92e-13,8.375,0.0,0.1
5.56e-13,8.2e-14,3.8e-13,8.195,0.0,0.1
4.62e-13,0.0,-1.2e-14,8.015,0.0,0.1
1.5e-13,5.04e-13,6.16e-13,7.835,0.0,0.1
2.96e-13,-2.48e-13,1.02e-13,7.655,0.0,0.1
6e-13,-3.6e-14,4e-14,7.475,0.0,0.1
3.6e-13,3.46e-13,4.76e-13,7.294,0.0,0.1
-1.5e-13,1.168e-12,-8.2e-14,7.114,0.0,0.1
2.52e-13,6.56e-13,5.88e-13,6.934,0.0,0.1
3.24e-13,-2.36e-13,1.62e-13,6.754,0.0,0.1
-1.26e-13,1.024e-12,6.34e-13,6.574,0.0,0.1
1.4e-13,1.732e-12,7.4e-13,6.394,0.0,0.1
-1.34e-13,-2e-13,-3.04e-13,6.214,0.0,0.1
-3.26e-13,4.08e-13,1.022e-12,6.034,0.0,0.1
-2.6e-14,1.604e-12,8.12e-13,5.854,0.0,0.1
6.6e-14,-3.76e-13,4.56e-13,5.674,0.0,0.1
-1.8e-14,1.794e-12,6.28e-13,5.494,0.0,0.1
-3.38e-13,2.7e-13,4.48e-13,5.314,0.0,0.1
1.82e-13,-7.5e-13,6.44e-13,5.133,0.0,0.1
-2.68e-13,1.596e-12,8.24e-13,4.953,0.0,0.1
-2.82e-13,1.302e-12,7.28e-13,4.773,0.0,0.1
-3.08e-13,-4.8e-14,1.114e-12,4.593,0.0,0.1
-3.04e-13,-7.04e-13,-2.8e-14,4.413,0.0,0.1
-7.56e-13,9.04e-13,7.3e-13,4.233,0.0,0.1
-4.98e-13,1.476e-12,6.56e-13,4.053,0.0,0.1
-6.34e-13,3.32e-13,1.16e-13,3.873,0.0,0.1
-5.72e-13,6.76e-13,1.228e-12,3.693,0.0,0.1
-4.14e-13,4.1e-13,8.8e-13,3.513,0.0,0.1
-3.52e-13,1.92e-13,7.92e-13,3.333,0.0,0.1
-3.06e-13,8e-13,1.284e-12,3.152,0.0,0.1
-8.6e-13,-1.6e-14,6.68e-13,2.972,0.0,0.1
-5.18e-13,2.92e-13,1.33e-12,2.792,0.0,0.1
-3.64e-13,4.1e-13,4.06e-13,2.612,0.0,0.1
-8.44e-13,1.554e-12,1.4e-12,2.432,0.0,0.1
-4.82e-13,1.326e-12,1.018e-12,2.252,0.0,0.1
-7.22e-13,-9.4e-13,5.84e-13,2.072,0.0,0.1
-9.34e-13,2.106e-12,1.41e-12,1.892,0.0,0.1
-8.4e-13,8.44e-13,1.418e-12,1.712,0.0,0.1
-1.092e-12,2.26e-13,8.42e-13,1.532,0.0,0.1
-9.9e-13,1.242e-12,1.494e-12,1.352,0.0,0.1
-9.18e-13,-1.84e-13,1.246e-12,1.172,0.0,0.1
-6.26e-13,7.86e-13,1.006e-12,0.991,0.0,0.1
-1.138e-12,1.144e-12,1.254e-12,0.811,0.0,0.1
-7.64e-13,-4e-13,1.898e-12,0.631,0.0,0.1
-4.68e-13,2.1e-13,1.136e-12,0.451,0.0,0.1
