,SMU1 Current Measurement (A),SMU2 Current Measurement (A),SMU3 Current Measurement (A),SMU1 Voltage Output (V)
52,-6.5e-13,8.2e-13,1.08e-12,1.32
53,-2e-13,9e-13,1.35e-12,1.355
54,3.1e-13,4.9e-13,8.9e-13,1.39
55,-3.9e-13,9.9e-13,9.7e-13,1.425
56,2.3e-13,1.39e-12,7.5e-13,1.46
57,-3.9e-13,3.5e-13,1.26e-12,1.495
58,4e-14,7.3e-13,1.24e-12,1.53
59,-1.7e-13,7.4e-13,1.53e-12,1.565
60,2.7e-13,6.9e-13,6.8e-13,1.6
61,2.8e-13,8.7e-13,1.28e-12,1.635
62,-2.3e-13,2e-13,1.22e-12,1.67
63,3.6e-13,1.37e-12,1.45e-12,1.705
64,-1.8e-13,6.8e-13,8.8e-13,1.74
65,-1.2e-13,1.31e-12,1.08e-12,1.775
66,-9e-14,7.9e-13,1.11e-12,1.81
67,1.2e-13,1.11e-12,9.1e-13,1.845
68,1e-13,1.03e-12,6.2e-13,1.88
69,3.7e-13,-2.4e-13,1.02e-12,1.915
70,-2.5e-13,6e-13,1.32e-12,1.95
71,7.4e-13,5.2e-13,1.06e-12,1.985
72,9e-14,1.16e-12,1.58e-12,2.02
73,-3.8e-13,6.5e-13,1.15e-12,2.055
74,-5.3e-13,1.01e-12,7.4e-13,2.09
75,-9e-14,1.2e-12,1.21e-12,2.125
76,2e-13,1.51e-12,6.7e-13,2.16
77,-7.5e-13,7e-13,9e-13,2.195
78,-3e-14,6.7e-13,9.2e-13,2.23
79,-1.4e-13,1.27e-12,7.8e-13,2.265
80,7e-13,5.4e-13,1.05e-12,2.3
81,-4e-14,9.3e-13,1.64e-12,2.335
82,4.7e-13,9.2e-13,8.9e-13,2.37
83,-9e-14,5.6e-13,1.64e-12,2.405
84,-3.6e-13,9.3e-13,9.2e-13,2.44
85,-3.3e-13,1.35e-12,8e-13,2.475
86,1.7e-13,4.7e-13,1.17e-12,2.51
87,-3.4e-13,1.07e-12,9.7e-13,2.545
88,5e-14,7.9e-13,6.7e-13,2.58
89,-1.7e-13,8.7e-13,9.8e-13,2.615
90,1e-13,7.2e-13,1e-12,2.65
91,6.5e-13,2.8e-13,8.3e-13,2.685
92,1.1e-13,5.2e-13,1.52e-12,2.72
93,-3.5e-13,9e-14,9.5e-13,2.755
94,-2e-13,1.06e-12,1.04e-12,2.79
95,-1.3e-13,6.3e-13,8.7e-13,2.825
96,-2.2e-13,1.69e-12,9.6e-13,2.86
97,-3.2e-13,7.3e-13,9.6e-13,2.895
98,2e-14,1.5e-12,1.01e-12,2.93
99,-4.2e-13,1.16e-12,8.2e-13,2.965
100,4.9e-13,5.2e-13,9.1e-13,3.0
