,SMU1 Current Measurement (A),SMU2 Current Measurement (A),SMU3 Current Measurement (A),SMU1 Voltage Output (V)
42,-3.4e-13,9.6e-13,4.6e-13,0.97
43,-3.4e-13,5.7e-13,1.27e-12,1.005
44,-4.9e-13,1.15e-12,7.1e-13,1.04
45,-2.9e-13,1.04e-12,1.39e-12,1.075
46,6.3e-13,1.08e-12,5.6e-13,1.11
47,-4e-13,8.7e-13,1.17e-12,1.145
48,-1.8e-13,8e-13,6.9e-13,1.18
49,-3.3e-13,-4.8e-13,1.29e-12,1.215
50,-5.4e-13,6.2e-13,1.15e-12,1.25
51,9e-14,1.27e-12,9.5e-13,1.285
52,-2.8e-13,6.2e-13,1.42e-12,1.32
53,-3e-13,1.15e-12,7.3e-13,1.355
54,-2.7e-13,1.07e-12,1.31e-12,1.39
55,-3.6e-13,7e-13,9.8e-13,1.425
56,-2.3e-13,4.7e-13,1.28e-12,1.46
57,3.8e-13,8.9e-13,7.9e-13,1.495
58,-2.3e-13,1.31e-12,1.59e-12,1.53
59,-5.8e-13,7.5e-13,7.2e-13,1.565
60,-1.5e-13,7.6e-13,5.6e-13,1.6
61,-3e-13,7.6e-13,1.36e-12,1.635
62,-3.5e-13,1.85e-12,8.9e-13,1.67
63,-3.4e-13,6.3e-13,1e-12,1.705
64,1.9e-13,1.01e-12,1.09e-12,1.74
65,-4e-13,1.01e-12,1.16e-12,1.775
66,8e-14,9.2e-13,9.5e-13,1.81
67,-2.1e-13,7.2e-13,1.35e-12,1.845
68,-2.3e-13,7.8e-13,8.3e-13,1.88
69,-2.3e-13,1.01e-12,1.42e-12,1.915
70,-2.6e-13,1.23e-12,1.05e-12,1.95
71,-2.8e-13,7.5e-13,1.13e-12,1.985
72,-2.5e-13,3.9e-13,1.08e-12,2.02
73,-2.1e-13,1.52e-12,1.24e-12,2.055
74,-4.8e-13,8.4e-13,1.08e-12,2.09
75,-7e-14,7.3e-13,6.4e-13,2.125
76,-3.9e-13,1.03e-12,1.22e-12,2.16
77,5.3e-13,5.8e-13,8.5e-13,2.195
78,-5.3e-13,3.7e-13,1.57e-12,2.23
79,4e-14,1.03e-12,9.7e-13,2.265
80,-3.2e-13,9.9e-13,1.33e-12,2.3
81,-4.7e-13,8.6e-13,1.26e-12,2.335
82,-8.5e-13,9.3e-13,9.1e-13,2.37
83,-1.4e-13,1.15e-12,1.05e-12,2.405
84,-2e-14,7.1e-13,1.13e-12,2.44
85,-6.6e-13,7e-13,1.24e-12,2.475
86,3.5e-13,7.3e-13,7.3e-13,2.51
87,-1.9e-13,5.8e-13,1.11e-12,2.545
88,4.8e-13,5.9e-13,8.4e-13,2.58
89,-2.7e-13,8.6e-13,1.31e-12,2.615
90,-3.7e-13,3e-13,9.5e-13,2.65
91,-5e-14,9.9e-13,8.7e-13,2.685
92,-6.2e-13,9.1e-13,1.26e-12,2.72
93,3e-14,1.86e-12,4.6e-13,2.755
94,5e-14,8.5e-13,8e-13,2.79
95,-4.3e-13,7.3e-13,1.31e-12,2.825
96,-7.5e-13,1.05e-12,1.08e-12,2.86
97,4e-13,4.6e-13,1.09e-12,2.895
98,-2e-13,5.9e-13,9.1e-13,2.93
99,-2.9e-13,7.8e-13,1.13e-12,2.965
100,-9.8e-13,6.9e-13,1.33e-12,3.0
