,SMU1 Current Measurement (A),SMU2 Current Measurement (A),SMU3 Current Measurement (A),SMU1 Voltage Output (V)
70,3.3e-13,2.7e-13,9.6e-13,1.95
71,-1e-14,7.7e-13,8.5e-13,1.985
72,1.7e-13,4.1e-13,1.25e-12,2.02
73,-2.5e-13,7.5e-13,8.5e-13,2.055
74,-7.6e-13,6.5e-13,8.1e-13,2.09
75,-9e-14,9.8e-13,1.31e-12,2.125
76,-4.4e-13,1.28e-12,8.9e-13,2.16
77,-7.9e-13,8.6e-13,8.5e-13,2.195
78,-5e-14,6.4e-13,1.24e-12,2.23
79,-1.2e-13,1.04e-12,8.2e-13,2.265
80,-9e-14,1.17e-12,1.23e-12,2.3
81,6.6e-13,6.3e-13,1.24e-12,2.335
82,-1.7e-13,5.9e-13,1.2e-12,2.37
83,-2.6e-13,8.5e-13,1.12e-12,2.405
84,1.3e-13,8.5e-13,1.12e-12,2.44
85,-4.3e-13,8.9e-13,7.4e-13,2.475
86,-3.3e-13,1.03e-12,9.9e-13,2.51
87,-3.6e-13,7.9e-13,1.14e-12,2.545
88,-8.5e-13,8.5e-13,9.7e-13,2.58
89,2.7e-13,5.4e-13,7e-13,2.615
90,9e-14,5.9e-13,1.11e-12,2.65
91,-1.4e-13,1.07e-12,5.2e-13,2.685
92,1.3e-13,8.4e-13,5.7e-13,2.72
93,1.1e-13,6e-13,1.44e-12,2.755
94,-5.8e-13,7e-13,7.4e-13,2.79
95,-4.6e-13,8.6e-13,1.09e-12,2.825
96,-7.2e-13,5.4e-13,1.2e-12,2.86
97,-5.5e-13,1.17e-12,1.06e-12,2.895
98,-1.3e-13,8.1e-13,1.19e-12,2.93
99,-2.7e-13,4.1e-13,1.13e-12,2.965
100,-2e-13,1.05e-12,9.1e-13,3.0
